hbzId,subject,title,otherTitleInformation,corporateBodyForTitle
HT017044573,NULL,"Ellmo, 2.: Auf der Jagd nach der gestohlenen Lilienkrone","begleitet Ellmo und den Wassergeist durch das Ruhrgebiet, zu den Wasserschlössern und Burgruinen! ; Doppel-CD",NULL
TT001412484,NULL,"Jupp Lückeroth, informelle Malerei",1952 - 1987 ; Ausstellung im Städtischen Museum Simeonstift Trier vom 31.1. - 12.3.1988,NULL
HT018988419,NULL,Alter Ego,"Arbeitsgemeinschaften, Rollenspiele und heimliche Passionen in der Musik vom Mittelalter bis zur Romantik ; Tage Alter Musik in Herne 11 ; [zehn Konzerte des Westdeutschen Rundfunks Köln]",NULL
HT018148568,NULL,75 [Fünfundsiebzig] Jahre Schule für Schwerhörige Köln,1913 - 1988,NULL
HT018153568,NULL,"Meine ersten kölschen Lieder, 1",NULL,NULL
HT015629793,NULL,Schriftenreihe des Heimat- und Geschichtsvereins Troisdorf,NULL,NULL
HT019093235,NULL,"Fluid flow, nonsmooth domains, and heterogeneous catalysis",NULL,NULL
HT018925586,NULL,"Meine Röhrsdorfer Geschichten, 2: Neustart",NULL,NULL
HT018395621,NULL,"Kirchen und Kapellen, Kreuze und Bildstöcke in der Gemeinde Nörvenich","Geschichte, Bauart, Ausstattung",NULL
HT013277531,NULL,"Langenberger Texte, 1: Lyrik, Prosa",NULL,NULL
HT007331914,NULL,"""Auf den Hund gekommen""","eine Ausstellung zur Geschichte des Ältesten Haustieres und Seiner Funktionen im Wandel der Epochen ; [Ausstellung im Stadtgeschichtlichen Museum Jülich, 4. Juni bis 24. September 1995, Kulturhaus am Hexenturm]",NULL
HT002144111,NULL,Einschnitte,Beitr. zur Gesellschafts- u. Wissenschaftskritik,NULL
HT019059285,NULL,Quantifizierung frühbesiedelnder oraler Actinomyces spp. mittels neu etablierter TaqMan-PCRs,NULL,NULL
HT008883597,NULL,As the world warmed,human adaptations across the pleistocene holocene boundary,NULL
HT015269657,NULL,NOx-Minderung in Rauchgasen,NULL,NULL
HT002539770,NULL,Manuelle Medizin heute,Methoden und Erfahrungen - eine Bilanz ; [Vorträge und Referate der Tagung anläßlich des 30jährigen Bestehens der Ärzteseminare Hamm (FAC) und Neutrauchburg (MWE) der Deutschen Gesellschaft für Manuelle Medizin vom 2. - 4. 12. 1983 in München],NULL
HT015053105,NULL,Gerhard Richter - Portraits,NULL,NULL
HT018620800,NULL,Picasso in Arles,"dokumentiert von Roland Hehn, Düsseldorf 1964",NULL
HT013914065,NULL,Auch Wasser kann viel bewegen,"von der ""Stadt Montan"" zur modernen Logistikdrehscheibe",NULL
HT014254276,NULL,"Ausgewählte Handlungsfelder der Kinder- und Jugendhilfe, 1",NULL,NULL
HT014199705,NULL,"""In Dienst gehen""",NULL,NULL
HT018456017,NULL,Buch der Lieder,NULL,NULL
BT000163270,NULL,Krefelder Beiträge zum zeitgenössischen Design,NULL,NULL
HT018825978,NULL,Detektion von Inhaltstypen im Internet,technische Aspekte automatisierter Textklassifikation,NULL
HT018325966,NULL,"Kunstpreis Wesseling, 2: Begegnungen","Ausstellung vom 21. September bis 12. Oktober 1997, Ausstellungsort: Schwingeler Hof, Wesseling",NULL
HT018325984,NULL,"Kunstpreis Wesseling, 7: Begegnung, Dynamik und Kraft","Ausstellung vom 5. November 2006 bis 26. November 2006, Ausstellungsort: Galerie Schwingeler Hof, Wesseling",NULL
BT000032366,NULL,"Klaus Simon, Ins Mark","Kunstmuseum Heidenheim, 23. September - 12. November 1995",NULL
HT013349477,NULL,Stadtträume,zwischen Albtraum und Utopie ; Reader für MultiplikatorInnen in der Jugend- und Bildungsarbeit,NULL
HT005355500,NULL,Dokumentation des PVC-Hearing,gefaehrden PVC-Produkte die Umwelt? ; Stellungnahme verschiedener Sachverstaendiger anlaesslich der Anhoerung am 22.10.1986 in Bielefeld,NULL
HT016589035,NULL,1950 - 1959,NULL,NULL
HT019093943,NULL,"Darstellung pulmonaler Inflammation mittels der Perfluorcarbone PFD, PFOB sowie F-44E in der 19F-MR-Bildgebung",Vergleich der Sensitivitäten sowie der kinetischen Profile im Mäusemodell,NULL
HT006861135,NULL,Ludwig Erhard,NULL,NULL
HT015916543,NULL,Mucher Archivgespräche,eine Veranstaltungsreihe der Rhein-Sieg-Volkshochschule und des Kulturamtes der Gemeinde Much,NULL
HT006379032,NULL,Vorträge des 1. Symposiums für Redakteure und Schriftleiter,in Bocholt 1991,NULL
HT019237126,NULL,Quellen zur Geschichte des Stiftes Flaesheim im 13. Jahrhundert (IV),NULL,NULL
HT018585378,NULL,"Ut de feldgraoe Tied, 1: De graute Tied",NULL,NULL
HT006757596,NULL,Fachkonferenz Jugendarbeit und Schule,am 7. 2. 1995 im Maternushaus Köln,NULL
HT016293727,NULL,Hin und Her,Zu- und Abwanderung im Ruhrgebiet,NULL
HT014272546,NULL,Das Schiff und der Container,22. Duisburger Kolloquium Schiffstechnik / Meerestechnik 2001,NULL
HT003167655,NULL,Tunnelvortrieb bei partiell schwierigem Gebirgsverhalten,Vorausmaßnahmen und Bewältigung ; 29.1.87,NULL
HT013973564,NULL,"Werke, 4: Engelbert Kaempfer in Siam",NULL,NULL
HT019253019,NULL,"Krankheit, Sterben und Tod im Leben und Schreiben europäischer Schriftsteller",NULL,NULL
HT019511203,NULL,An atlas of skeletal trauma in medico-legal contexts,NULL,NULL
HT018194046,NULL,Touristisches Ziel historische Stadtkerne,"barrierefrei, fahrradfreundlich, digital erreichbar ; Fachtagung der Arbeitsgemeinschaften Historische Stadt- und Ortskerne in Nordrhein-Westfalen ... ; [Dokumentation der Fachtagung vom 17. + 18. April 2012 in Rheinsberg]",NULL
HT018456108,NULL,"Deutschland, ein Wintermärchen",NULL,NULL
HT015690854,NULL,Religionen und die Gefahren der Intoleranz,"Eröffnungsvortrag und Podiumsdiskussion ; 4. Trialogtagung Juden - Christen - Muslime in einer Welt : Jesus eint - Jesus scheidet, 8.-10.12.1996",NULL
HT018639167,NULL,"Prävention braucht Praxis, Politik und Wissenschaft","ausgewählte Beiträge des 19. Deutschen Präventionstages, 12. und 13. Mai 2014 in Karlsruhe",NULL
HT018937859,NULL,Lütt Katteker söcht en Tohuus,NULL,NULL
HT018610079,NULL,"Richarda von Gression, 3: Die Pilgerin",NULL,NULL
HT018893815,NULL,"Brauer und Mälzer, Brauerin und Mälzerin",NULL,NULL
HT018728938,NULL,Beiträge zur Geschichte Werdens,NULL,NULL
HT019086854,NULL,Spielzeit 2011/12,NULL,NULL
HT018948717,NULL,Kernlehrplan für die Gesamtschule/Sekundarschule in Nordrhein-Westfalen,NULL,NULL
HT019087382,NULL,Spielzeit 2013/14,NULL,NULL
HT004580474,NULL,"Die Stadt ""D"", Geschichte live",Unterrichts- u. Quellenmaterialien,NULL
HT018409450,NULL,"John Cage - Amerika, eine Vision, 1",NULL,NULL
HT019283298,NULL,"Krankheit, Sterben und Tod im Leben und Schreiben europäischer Schriftsteller, 2: Das 20. und 21. Jahrhundert",NULL,NULL
HT015345425,NULL,Richtlinien für das Berufskolleg in Nordrhein-Westfalen,"Richtlinien Bildungsgänge der Berufsfachschule, die zu einem Berufsabschluss nach Landesrecht und zur Fachhochschulreife führen",NULL
HT015353081,NULL,Königspaare und Throngesellschaften 1950-2006,NULL,NULL
HT015353073,NULL,Die Lippstädter Schützenkompanie als Teil der preußischen Landmiliz im Jahre 1703,NULL,NULL
HT015353078,NULL,Der Lippstädter Schützenverein 1933-1945,NULL,NULL
HT010916786,NULL,Interkulturelle Pädagogik vor dem Hintergrund einer multikulturellen Gesellschaft,NULL,NULL
HT010917317,NULL,Alltagsgewalt und Kriminalität junger Menschen,NULL,NULL
HT010917322,NULL,Einbürgerung und Antidiskriminierung,politische Perspektive für die Bundesrepublik,NULL
HT015353069,NULL,Aus den Akten der alten Lippstädter Schützenkompanie,NULL,NULL
HT018749061,NULL,Uni (in) Form,Wirkung der Dienstbekleidung der Bundespolizei an der Hochschule des Bundes im Grundstudium am Beispiel einer qualitativen Befragung der uniformierten Studierenden der Bundespolizei,NULL
HT019067036,NULL,Expression von humanem Alpha s1-Casein in Leukozyten und leukozytären Zellen,NULL,NULL
HT013984006,NULL,"In Sprache gebunden, 6",NULL,NULL
HT007057655,NULL,Van toen naar nu,"driemaandelijks tijdschrift van de Heemkundekring ""De Duffelt""",NULL
HT001251882,NULL,Landeskundliche Schriftenreihe für das kölnische Sauerland,"Veröff. d. Landkreise Arnsberg, Brilon, Meschede u. Olpe",NULL
HT017182601,NULL,"Königswinter in Zeit und Bild, 1",NULL,NULL
HT019419178,NULL,Alles in Handarbeit,"die Buchbinderei der Universitäts- und Stadtbibliothek : Vernissage: Mittwoch, 13. Mai 2015, 15 Uhr",NULL
HT019069927,NULL,Periphere Nervenstimulation der Occipitalnerven als Behandlungsmöglichkeit der chronischen therapierefraktären Migräne,NULL,NULL
HT017079139,NULL,Festschrift mit Programm zur Wiedereröffnung des Freibades am 11. Juni 1950,NULL,NULL
HT013265079,NULL,Verhandlungen,Düsseldorf 2000,Westdeutscher Entomologentag
HT017083145,NULL,Streifzüge durch die Geschichte Lienens,ein historisches Lesebuch,NULL
HT014380993,NULL,"Zur Geschichte des Evangelischen Schulzentrums Hilden, 2: Das Lyzeum und Erziehungs-Haus für Töchter aus mittleren und höheren Ständen zu Hilden bei Düsseldorf",die Gründung im Jahre 1861 und die Jahre bis 1955,NULL
HT014191021,NULL,"Lesebuch, 2: Prosa und Briefe",NULL,NULL
HT017040295,NULL,Arbeiterskulpturen,NULL,NULL
HT014284052,NULL,Der Bau der Kuniberthalle,der lange Weg von der ersten Planung bis zur Realisierung,NULL
HT019333099,NULL,n.a.t.u.r.,NULL,NULL
HT014584096,NULL,Casablanca ist weit,ein Steeler-Straße-Krimi,NULL
HT019336926,NULL,Kubus,"Sparda-Kunstpreis im Kunstmuseum Stuttgart ; [... anlässlich der Ausstellung Kubus. Sparda-Kunstpreis im Kunstmuseum Stuttgart, 18. März bis 18. Juni 2017]",NULL
HT019336899,NULL,Ein Zeitbild im Spiegel der Pfarrchronik St. Bartholomäus Meggen,NULL,NULL
HT019093382,NULL,Die Entwicklung des deutschen Außenhandels mit Stahlfabrikaten zwischen 1914 und 1945,ein gesamtwirtschaftlicher Überblick,NULL
HT018546244,NULL,Jahresband 2014/2015,NULL,NULL
HT018475493,NULL,Der Ruhrbergarbeiterstreik von 1912,Hausarbeit zur wissenschaftlichen Prüfung für das Lehramt an Höheren Schulen,NULL
HT018594213,NULL,Bruder Klaus von Flüe,Patron der Akademie Klausenhof,NULL
HT014826674,NULL,Fallstudien zum Wissensmanagement im Bereich wissensintensiver Dienstleistungsnetzwerke aus Berater- und IT- bzw. Multimediabranche,NULL,NULL
HT019156682,NULL,Das unbewegliche Theater des Fritz Schwegler von Breech,NULL,NULL
HT003878255,NULL,"Arbeitstagung Jugendhilfe - Justiz mit Vormundschafts- und Jugendrichtern, Jugendstaatsanwälten, Leitenden Mitarbeitern von Jugendämtern und Träger der Freien Jugendhilfe sowie Leitenden Mitarbeitern aus Einrichtungen der Öffentlichen Erziehung im Rheinland",24. und 25. Oktober 1988,NULL
HT004266081,NULL,Schul-Heft,Schriftenreihe,NULL
HT004461344,NULL,DUZ special,NULL,NULL
HT013945552,NULL,"Modellprojekt ""Integration älterer Migrantinnen und Migranten""",Schaffung neuer integrationsfördernder Strukturen zur Verbesserung der Lebenssituation ; Dokumentation der Qualifizierungsseminare vom 7.3. - 3.12.2002,NULL
HT018621221,NULL,Künstler-Archive - ein Sammlungsziel?,Zur Sammlungsstrategie des Archivs der Universität der Künste Berlin,NULL
HT017770260,NULL,René Block im Gespräch mit Maïté Vissault,Auszug,NULL
HT018719392,NULL,"Krankheit, Sterben und Tod im Leben und Schreiben europäischer Schriftsteller, 1: Das 18. und 19. Jahrhundert",NULL,NULL
HT013217203,NULL,Migration und Alter,auf dem Weg zu einer kulturkompetenten Altenarbeit ; Konzepte - Methoden - Erfahrungen,NULL
HT019253485,NULL,Stolpersteine,ein Stadtrundgang auf den Spuren der ehemaligen jüdischen Gemeinde in Schmallenberg,NULL
HT014187646,NULL,Lathen - ein Dorf an der Ems,eine Chronik im Auftr. der Gemeinde Lathen aus Anlaß der 1150-Jahr-Feier,NULL
HT013329182,NULL,Auf den Spuren der Vergangenheit,NULL,NULL
HT018932191,NULL,Mein Ortsverein,NULL,NULL
HT013251207,NULL,"Hömma, Härzken, CD",NULL,NULL
HT002164693,NULL,Zur Berufspraxis von Diplom-Mathematikern,NULL,NULL
HT013098630,NULL,Rund-um-Karte 1:200000,Rund-um-Karte,NULL
HT014449222,NULL,Lili Fischer - aus erster Hand,"[seltene Handschriften, Partituren, Schriftobjekte ; zusammen mit Katalog: Georg Jappe - aus erster Hand erschienen anlässlich der gleichnamigen Ausstellung im Stadtmuseum Münster]",NULL
HT018409657,NULL,"Im Puls, 1",NULL,NULL
HT018153591,NULL,"Meine ersten kölschen Lieder, 3",NULL,NULL
HT015257263,NULL,Freudenkreis Kammermusik-Festival - Liesborner Museumskonzerte,NULL,NULL
HT019093954,NULL,"Darstellung pulmonaler Inflammation mittels der Perfluorcarbone PFD, PFOB sowie F-44E in der 19F-MR-Bildgebung",Vergleich der Sensitivitäten sowie der kinetischen Profile im Mäusemodell,NULL
HT006571049,NULL,DNA-Diagnostik in der Humangenetik,Voraussetzungen und Tendenzen,NULL
HT018711371,NULL,Beiträge zur Geschichte Gerresheims,NULL,NULL
HT012785623,NULL,"Landschaft und Landschaftswandel anschaulich vermitteln, 2",NULL,NULL
BT000064216,NULL,Geschichte der Schulen in Bad Meinberg,NULL,NULL
HT006975265,NULL,Informationen Weiterbildung in NW,"i:W ; ein Informationsdienst d. Landesinstituts für Schule und Weiterbildung, Soest",NULL
HT006980544,NULL,Der Derendorfer,"Heimatzeitschr. d. ""Derendorfer Jonges 1956""",NULL
HT018233332,NULL,1914 - 2014 - Erinnerung an den Ersten Weltkrieg,"[aktuelle Veranstaltungen und Ausstellungen, wichtige Rezensionen und Neuerscheinnungen, Ruhrgebietsbibliografie]",NULL
BT000059361,NULL,Untersuchung des gesamten Fremdenverkehrs im Kreis Lippe,im Auftr. d. Kreises ... erarb. von Lutz D. Schildberg ...,NULL
HT007064955,NULL,Heidter Blättchen,Informationen des Heidter Bezirks- u. Bürgervereins,NULL
HT018714825,NULL,"Aachener Bläserbuch zum diözesanen Gotteslob-Eigenteil, Einz,1,B",NULL,NULL
HT018714826,NULL,"Aachener Bläserbuch zum diözesanen Gotteslob-Eigenteil, Einz,2,Es",NULL,NULL
HT007062497,NULL,NEW-Info,NULL,NULL
HT015649978,NULL,Bergisches Olympiabuch,NULL,NULL
HT016146027,NULL,Jahrestagung Stahl 2009,NULL,NULL
HT003686325,NULL,Wirtschaftliche Aspekte des lokalen Hörfunks,NULL,NULL
HT015956996,NULL,Datenmosaik,Veröffentlichungen der Bezirksregierung Düsseldorf,NULL
HT009067208,NULL,Zukunft der Arbeit,die Aufgabe der Kirche in einer sich wandelnden Gesellschaft,NULL
HT013441615,NULL,Rahmencurriculum für die Familienpflegeausbildung,"Studie der Forschungsgesellschaft für Gerontologie e.V. (FfG), Institut für Gerontologie an der Universität Dortmund",NULL
HT013504917,NULL,Armut und Reichtum in Düsseldorf,NULL,NULL
HT014605185,NULL,Stud. Report.,aus dem Seminarraum in die Welt ; Studierende Schreiben Reportagen,NULL
HT004922176,NULL,"Erziehungsverein Neukirchen-Vluyn, 1990: In seinem 145. Jahr und von seinem Jahresfest am 8. und 9. September 1990",NULL,NULL
HT017716851,NULL,Terror,NULL,NULL
HT013865302,NULL,Jungneolithischer Kernstein für Großklingen aus Nierswalde,NULL,NULL
HT018463492,NULL,Il Trittico,(das Tryptichon) ; drei Einakter ; [Spielzeit 2013/2014],NULL
HT019091606,NULL,Philharmonisches Konzert,NULL,NULL
HT013317108,NULL,"Werke, 5: Romane",NULL,NULL
HT017086748,NULL,Jahresband 2010/11,NULL,NULL
HT018806118,NULL,Industrieabwasserbehandlung - Entwicklung und Perspektiven,16. September 2015,NULL
HT019560291,NULL,Historische Lastkraftwagen,NULL,NULL
HT014439097,NULL,Antisemitismus - ein gefährliches Erbe,Reader für MultiplikatorInnen in der Jugend- und Bildungsarbeit,NULL
HT015868030,NULL,Geschichtswissenschaft: Europa: Geschichte und Kultur,NULL,NULL
HT016416398,NULL,"Erdloch, Erdraum und Bodenplatte",Konkurrenz von Zeugen- und Kunstwissenschaft im Blick auf die amerikanische Kunst der sechziger Jahre in München,NULL
HT015394450,NULL,Internationale Sozialforschung - zur Festschrift zu 25 Jahren SiZe,NULL,NULL
HT015394466,NULL,Tagebücher der Kindheit,NULL,NULL
HT015394360,NULL,Auf den Spuren jugendlicher Zukunftsorientierungen,NULL,NULL
HT015394224,NULL,Vom Einzelprojekt zum selbstverständlichen Qualitätsmerkmal in der Jugendarbeit,Geschichte der Partizipation ; Partizipation als Qualitätsmerkmal,NULL
HT007832912,NULL,Biotec 96,NULL,NULL
HT016338790,NULL,Neue Arbeits- und Lebenswelten gestalten,vom 24. - 26. März 2010 [an der Technischen Universität Darmstadt],NULL
HT016568136,NULL,"Der Bund der Wächter, 1: Entführung in Stiepel",NULL,NULL
HT017825088,NULL,Transfer Korea - NRW,"2011/12/13 ; Dijon, Dortmund, Mönchengladbach, Mülheim an der Ruhr, Nantes, Tourcoing ; das 9. Internationale Künstler- umd Kunstaustauschprogramm ; [Ausstellungen: Kunstmuseum Bonn, 18.10.2013 - 09.02.2014, Kunsthalle Düsseldorf 19.10.2013 - 05.01.2014 ..., National Museum of Modern and Contemporary Art, Korea, 14.12.2013 - 13.02.2014 ; mit Jan Albers, Luka Fineisen, ..., Yeesookyung]",NULL
HT019574924,NULL,Zwangsarbeiter im Amtsbezirk Vlotho und Exter - Zeichen der Versöhnung durch Städtepartnerschaft,NULL,NULL
HT019449045,NULL,Politik und Verantwortung,Analysen zum Wandel politischer Entscheidungs- und Rechtfertigungspraktiken,NULL
HT006721084,NULL,Ein Vierteljahrhundert Papier aus dem Emsland,[ein Buch der Nordland-Papier in Dörpen an der Ems],NULL
HT007453749,NULL,Perspektiven der Medizintechnik,"[dieser Veröffentlichung ging eine Veranstaltung voraus, die im März 1996 in Düsseldorf unter dem Titel ""Visionen der Medizintechnik"" ... stattfand]",NULL
HT014364321,NULL,"Fundraising für Umwelt und Entwicklung, 2: Am 2. - 3. November 2004 in der Akademie Franz-Hitze-Haus",NULL,NULL
HT011100929,NULL,"Das Schönste, 1: Wenn ich König bin ...",NULL,NULL
HT011161811,NULL,"Frieda Klapperich, na: Na und?!",NULL,NULL
HT015029094,NULL,Predigten zum Gottfriedfest,Aus dem Hirtenschreiben vom 20.12.1862 ; Gottfriedpredigten 1984 und 1992 ; zum Gottfriedsfest am 16.01.1994 in Cappenberg [u.a.],NULL
HT004112060,NULL,Kurzfassung von Vorträgen aus dem INFU-Kolloquium des Sommersemesters 1982,ein interdisziplinäres Seminar über ausgewählte Themen des Umweltschutzes,NULL
HT003047484,NULL,Essener Universitätsberichte,NULL,NULL
HT014930338,NULL,"Die Eifel-Gang, 1: Die Spürnasen vom Stachelsberg",NULL,NULL
BT000076989,NULL,20 Jahre Trampolinturnen in Schlangen,Dokumentation d. Trampolingruppe d. VfL Schlangen,NULL
HT003158382,NULL,Neue Perspektiven im Breitensport,... in Paderborn,NULL
HT003161686,NULL,Berufsschulsport,Aufgaben u. Chancen für d. Unterrichtspraxis,NULL
HT012836906,NULL,Praktische Beispiele erfolgreicher Integrationssportarbeit an bundesdeutschen Hochschulen,NULL,NULL
HT015029696,NULL,"""Man wird des Nachts wach und hat die furchtbarsten Träume""",NULL,NULL
HT015029575,NULL,Ahaus,"""Es ist nicht leicht, darüber zu sprechen""",NULL
HT015029587,NULL,Bocholt,"""Wenn Dou de Synagoge anstöckst, dann schloa ik dij dod""",NULL
HT015029610,NULL,Heek - Nienborg,"""Porzellanwaren, Bilder und Spiegel wurden zerschlagen""",NULL
HT003176628,NULL,Übungsleiter im vereinsorientierten Behindertensport,"Aspekte, Meinungen, Probleme ; vom 22. - 24.9.1987 in Düsseldorf anläßlich d. ""REHA 87"" ; Dokumentation",NULL
HT013456447,NULL,Presse- und Bilddokumentation,NULL,"[Verband der Heimkehrer (VdH), Ortsverband Bonn-Duisdorf]"
HT018117801,NULL,Dunkle Jahreszeit,NULL,NULL
HT013910596,NULL,"Prospect, BrA: Branchenbericht Arztpraxen",Strukturen - Personalbedarfe - Aus- und Weiterbildung - Förderhilfen,NULL
HT013910634,NULL,"Prospect, BrV: Branchenbericht Verkehr, Logistik",Strukturen - Personalbedarfe - Aus- und Weiterbildung - Förderhilfen,NULL
HT013910647,NULL,"Prospect, GeG: Gesamtbericht Gesundheits- und Sozialwesen",Strukturen - Ergebnisse - Handlungsempfehlungen,NULL
HT002922247,NULL,"Problemkreis Regional-, Ergänzungsluftverkehr",25. - 26. Apr. 1985 in Paderborn,NULL
HT014981671,NULL,Die Attacke der konstruktivistischen Form,Kontrollverlust und Kontrollgewinn in zwei Bildfolgen von Anna und Bernhard Blume,NULL
HT014982034,NULL,Zeichnungen von Anna und Bernhard Blume,NULL,NULL
HT014982230,NULL,Folgen des demographischen Wandels in Nordrhein-Westfalen für die Freiräume,NULL,NULL
HT014982233,NULL,Folgen des demographischen Wandels in Nordrhein-Westfalen für die Verkehrsentwicklung,NULL,NULL
HT014981429,NULL,Historische Luftaufnahmen aus dem Kreis Paderborn,NULL,NULL
HT014981546,NULL,Das Lager Staumühle 1941-1948,NULL,NULL
HT014982074,NULL,Photography as Painting?,a conversation with Bernhard Blume about the photo series 'Trautes Heim (Home Sweet Home)' on exhibition at the Museum am Ostwall,NULL
HT014982235,NULL,Demographischer Wandel in Nordrhein-Westfalen,Bilanzierung und Eckpunkte für politisches handeln,NULL
HT014981561,NULL,Paderborn im Adlerauge der Kamera,NULL,NULL
HT014981569,NULL,Luftaufnahmen Paderborn 1943 / 2004,NULL,NULL
HT014981608,NULL,Luftaufnahmen Schloß Neuhaus 1944 / 2004,NULL,NULL
HT014981483,NULL,Luftaufnahmen Kirchborchen - Schloß Hamborn 1944 / 2004,NULL,NULL
HT014981504,NULL,Der vorgesehene Ausbau der Wewelsburg nach einem Plan von Hermann Bartels,NULL,NULL
HT015381258,NULL,Und plötzlich sieht alles ganz anders aus ...,zur Kultivierung ethnografischer Neugier auf Profanes,NULL
HT015381260,NULL,Von Wissenschaft und Kunst,NULL,NULL
HT009512879,NULL,Vorträge,11./12. März 1998,"VGB-Konferenz ""Instandhaltung in Kraftwerken 1998"""
HT002882631,NULL,Modellvorhaben 'Fahrradfreundliche Stadt',Umweltforschungsplan d. Bundesministers d. Innern,NULL
HT019568450,NULL,Politik und Verantwortung,Analysen zum Wandel politischer Entscheidungs- und Rechtfertigungspraktiken,NULL
HT019011049,NULL,"Vom ""Piss-Pott"" zum ""Ei-Pott"", 1: 1950 bis 1960",NULL,NULL
HT018174358,NULL,Autismus und Berufsbildung,Chancen für Jugendliche und junge Erwachsene mit Autismus in Berufsvorbereitenden Bildungsmaßnahmen und in beruflicher Ausbildung,NULL
HT014641975,NULL,Modell Metropolis,Stadtkulturen - die Zukunft eines Zivilisationsmodells?,NULL
HT017577993,NULL,Streifzüge durch die Geschichte Lienens,ein historisches Lesebuch,NULL
HT015653987,NULL,Performance Saga,Begegnungen mit Wegbereiterinnen der Performancekunst ; Interviews 01-08,NULL
HT018733628,NULL,Arbeit für eine starke Wirtschaft?,NULL,NULL
HT011067244,NULL,"Die Regesten der Erzbischöfe von Köln im Mittelalter, 7: 1362 - 1370","(Adolf von der Mark, Engelbert von der Mark, Kuno von Falkenstein)",NULL
HT011067245,NULL,"Die Regesten der Erzbischöfe von Köln im Mittelalter, 8: 1370 - 1380",Friedrich van Saarwerden,NULL
HT007503812,NULL,Vorträge,NULL,VGB-Konferenz Kraftwerk und Umwelt 1997
HT015025972,NULL,Der Grabstein der Rignedrudis aus Brühl-Vochem,NULL,NULL
HT015026029,NULL,Die Synthese von Glauben und Wissen,Wissenschaft und Theologie bei Albertus Magnus,NULL
HT015022455,NULL,"Grabbe, Freiligrath und Andersen zum Schiller-Denkmal in Stuttgart",NULL,NULL
HT015022462,NULL,Hörbild zum 195. Geburtstag Ferdinand Freiligraths am 17. Juni 2005,NULL,NULL
HT015022480,NULL,Einen Schritt zurück,zum Stand der Dinge in der Museumskonzeption,NULL
HT015026466,NULL,Kunst als Stimulanz des Lebens,NULL,NULL
HT015022482,NULL,Blumen für Malwidas Grab,NULL,NULL
HT015023611,NULL,Wippera - Wipper - Wupper,NULL,NULL
HT015026013,NULL,Zum Begriff der Theologie bei Albertus Magnus,NULL,NULL
HT015022207,NULL,Zweimal Don Juan in den Dramen von Grabbe und Puschkin,NULL,NULL
HT015022205,NULL,"""Wie geht es meinen tragischen Lieblingshelden?""",Christian Dietrich Grabbes und Friedrich Schillers Nationaldrama,NULL
HT014943515,NULL,"Buch, Literatur und Sprache in den östlichen Niederlanden und im nordwestlichen Deutschland",Vorträge des Kolloquiums vom 31. August bis 2. September 2000 in der Johannes a Lasco Bibliothek zu Emden,NULL
HT014830082,NULL,Fair statt prekär - Überlegungen zur Analyse und Gestaltung von Beschäftigungsverhältnissen in der Region,NULL,NULL
HT013399914,NULL,"Der Rheinisch-Bergische Kreis und seine Gemeinden, 1: Umrechnung der Ergebnisse der Volkszählung vom 27.5.1970 auf die neuen Gemeinden",NULL,NULL
HT013399919,NULL,"Der Rheinisch-Bergische Kreis und seine Gemeinden, 5: Wohnungs- und Siedlungstätigkeit 1961 - 1975",NULL,NULL
HT015494419,NULL,Fassade.Köln,"Architektur, Straßen, Öffentlichkeit",NULL
HT019059253,NULL,Neue Zytokin abhängige und unabhängige Funktion von Jak2 in der Apoptose und bei Infektionen,NULL,NULL
HT004324599,NULL,"Folgen und Chancen des Truppenabbaus in Nordrhein-Westfalen, 1",NULL,NULL
TT002645199,NULL,Deutschland-Bilder,Ein Selbstporträt der Bundesrepublik Deutschland in 12 Folgen,NULL
HT017282698,NULL,1100 Jahre Schieder-Schwalenberg,Projekttage der HS. Schieder,NULL
HT014953340,NULL,"Oligozäne und untermiozäne Floren in der Umgebung des Siebengebirges, 2: Tafel- und Anhangband",NULL,NULL
HT015130601,NULL,Lutetia Heinensis,NULL,NULL
HT015130128,NULL,"Profile, die die Medienbranche heute braucht",Reader zur Personalleiterkonferenz des MedienCampus Bayern e.V. im Herbst 2004 in München,NULL
HT015130604,NULL,"""Der Rausch der Poesie"" und ""der Schaum des Champagners""","Heinrich Heine über George Sand, Theaterdichtung und ""wahre Literatur""",NULL
HT008280499,NULL,Neue Zeitfenster für Weiterbildung?,"Arbeitszeitflexibilisierung und temporale Muster der Angebotsgestaltung ; Dokumentation der 10. Bielefelder Winterakademie, Fachtagung im Februar 1997",NULL
HT018155463,NULL,WeltZeitReise,die Schedelsche Weltchronik von 1943 ; Geschichtsbuch ; Stadtführer ; Bilderatlas ; [Leseheft zur Ausstellung],StiftsMuseum Xanten
HT003983770,NULL,Soest: ein Spaziergang durch die mittelalterliche Stadt,NULL,NULL
BT000048798,NULL,"Originale von Marx, Lassalle, Freiligrath und Friedrich Wilhelm IV. im Kreis Heinsberg gefunden",die Dokumente aus den Revolutionsjahren 1848/49 lagen 135 Jahre lang unbemerkt in einer alten Büchertruhe ; ein Fundbericht,NULL
BT000048723,NULL,Aus dem Leben für das Leben,NULL,NULL
TT002990338,NULL,"Denkmalpflege und Tourismus 3, 1990",misstrauische Distanz oder fruchtbare Partnerschaft ; Vorträge und Diskussionsergebnisse des 3. Internationalen Symposiums vom 7.-12.11.1990 in Trier,NULL
HT016966461,NULL,Datenmosaik,NULL,NULL
